hour,start_station_name,member_casual,count_of_users,day_of_week,month
9,Streeter Dr & Grand Ave,member,2,Wednesday,4
19,Streeter Dr & Grand Ave,member,8,Thursday,4
18,Streeter Dr & Grand Ave,member,2,Saturday,4
10,Streeter Dr & Grand Ave,member,1,Friday,5
11,Streeter Dr & Grand Ave,member,5,Tuesday,5
11,Streeter Dr & Grand Ave,member,2,Thursday,5
20,Streeter Dr & Grand Ave,member,2,Tuesday,5
17,Streeter Dr & Grand Ave,member,13,Sunday,5
19,Streeter Dr & Grand Ave,member,3,Sunday,5
8,Streeter Dr & Grand Ave,member,10,Wednesday,5
12,Streeter Dr & Grand Ave,member,4,Saturday,5
17,Streeter Dr & Grand Ave,member,20,Tuesday,5
10,Streeter Dr & Grand Ave,member,5,Wednesday,5
17,Streeter Dr & Grand Ave,member,11,Friday,5
20,Streeter Dr & Grand Ave,member,8,Saturday,5
16,Streeter Dr & Grand Ave,member,11,Wednesday,5
16,Streeter Dr & Grand Ave,member,5,Thursday,5
9,Streeter Dr & Grand Ave,member,2,Monday,5
17,Streeter Dr & Grand Ave,member,7,Saturday,5
6,Streeter Dr & Grand Ave,member,3,Wednesday,5
13,Streeter Dr & Grand Ave,member,9,Wednesday,5
15,Streeter Dr & Grand Ave,member,10,Friday,5
6,Streeter Dr & Grand Ave,member,2,Friday,5
16,Streeter Dr & Grand Ave,member,9,Monday,5
16,Streeter Dr & Grand Ave,member,8,Sunday,5
21,Streeter Dr & Grand Ave,member,7,Thursday,5
13,Streeter Dr & Grand Ave,member,3,Friday,5
19,Streeter Dr & Grand Ave,member,8,Friday,5
18,Streeter Dr & Grand Ave,member,8,Saturday,5
17,Streeter Dr & Grand Ave,member,14,Thursday,5
9,Streeter Dr & Grand Ave,member,3,Tuesday,5
12,Streeter Dr & Grand Ave,member,16,Sunday,5
12,Streeter Dr & Grand Ave,member,3,Thursday,5
16,Streeter Dr & Grand Ave,member,13,Tuesday,5
15,Streeter Dr & Grand Ave,member,9,Saturday,5
5,Streeter Dr & Grand Ave,member,1,Tuesday,5
11,Streeter Dr & Grand Ave,member,6,Wednesday,5
19,Streeter Dr & Grand Ave,member,11,Wednesday,5
15,Streeter Dr & Grand Ave,member,7,Wednesday,5
4,Streeter Dr & Grand Ave,member,1,Sunday,5
15,Streeter Dr & Grand Ave,member,10,Tuesday,5
12,Streeter Dr & Grand Ave,member,8,Monday,5
21,Streeter Dr & Grand Ave,member,4,Saturday,5
20,Streeter Dr & Grand Ave,member,3,Thursday,5
14,Streeter Dr & Grand Ave,member,7,Friday,5
3,Streeter Dr & Grand Ave,member,1,Monday,5
9,Streeter Dr & Grand Ave,member,1,Thursday,5
18,Streeter Dr & Grand Ave,member,17,Tuesday,5
10,Streeter Dr & Grand Ave,member,5,Saturday,5
22,Streeter Dr & Grand Ave,member,4,Friday,5
14,Streeter Dr & Grand Ave,member,5,Saturday,5
11,Streeter Dr & Grand Ave,member,6,Saturday,6
5,Streeter Dr & Grand Ave,member,1,Sunday,6
19,Streeter Dr & Grand Ave,member,8,Sunday,6
15,Streeter Dr & Grand Ave,member,5,Monday,5
18,Streeter Dr & Grand Ave,member,16,Saturday,6
17,Streeter Dr & Grand Ave,member,14,Monday,5
18,Streeter Dr & Grand Ave,member,11,Monday,5
9,Streeter Dr & Grand Ave,member,6,Wednesday,5
15,Streeter Dr & Grand Ave,member,17,Friday,6
13,Streeter Dr & Grand Ave,member,12,Friday,6
17,Streeter Dr & Grand Ave,member,11,Wednesday,5
11,Streeter Dr & Grand Ave,member,8,Sunday,6
14,Streeter Dr & Grand Ave,member,6,Monday,5
15,Streeter Dr & Grand Ave,member,7,Thursday,6
3,Streeter Dr & Grand Ave,member,1,Sunday,6
20,Streeter Dr & Grand Ave,member,16,Saturday,6
16,Streeter Dr & Grand Ave,member,13,Friday,6
23,Streeter Dr & Grand Ave,member,2,Thursday,6
13,Streeter Dr & Grand Ave,member,14,Sunday,6
16,Streeter Dr & Grand Ave,member,14,Thursday,6
12,Streeter Dr & Grand Ave,member,10,Tuesday,5
12,Streeter Dr & Grand Ave,member,9,Sunday,6
10,Streeter Dr & Grand Ave,member,8,Thursday,6
12,Streeter Dr & Grand Ave,member,14,Saturday,6
16,Streeter Dr & Grand Ave,member,20,Saturday,6
17,Streeter Dr & Grand Ave,member,21,Saturday,6
14,Streeter Dr & Grand Ave,member,5,Tuesday,6
20,Streeter Dr & Grand Ave,member,11,Wednesday,6
18,Streeter Dr & Grand Ave,member,13,Friday,6
6,Streeter Dr & Grand Ave,member,5,Tuesday,6
9,Streeter Dr & Grand Ave,member,4,Friday,6
14,Streeter Dr & Grand Ave,member,23,Saturday,6
12,Streeter Dr & Grand Ave,member,11,Friday,6
23,Streeter Dr & Grand Ave,member,3,Sunday,6
6,Streeter Dr & Grand Ave,member,2,Thursday,6
13,Streeter Dr & Grand Ave,member,14,Saturday,6
19,Streeter Dr & Grand Ave,member,14,Thursday,6
21,Streeter Dr & Grand Ave,member,12,Friday,6
16,Streeter Dr & Grand Ave,member,7,Wednesday,6
8,Streeter Dr & Grand Ave,member,8,Wednesday,6
19,Streeter Dr & Grand Ave,member,17,Friday,6
19,Streeter Dr & Grand Ave,member,11,Monday,6
9,Streeter Dr & Grand Ave,member,3,Saturday,6
0,Streeter Dr & Grand Ave,member,1,Monday,6
17,Streeter Dr & Grand Ave,member,14,Wednesday,6
0,Streeter Dr & Grand Ave,member,4,Thursday,6
19,Streeter Dr & Grand Ave,member,9,Wednesday,6
10,Streeter Dr & Grand Ave,member,6,Sunday,6
20,Streeter Dr & Grand Ave,member,17,Friday,6
15,Streeter Dr & Grand Ave,member,14,Saturday,6
18,Streeter Dr & Grand Ave,member,27,Thursday,6
20,Streeter Dr & Grand Ave,member,3,Monday,6
17,Streeter Dr & Grand Ave,member,10,Tuesday,6
11,Streeter Dr & Grand Ave,member,6,Monday,6
18,Streeter Dr & Grand Ave,member,16,Monday,6
12,Streeter Dr & Grand Ave,member,3,Wednesday,6
17,Streeter Dr & Grand Ave,member,24,Friday,6
21,Streeter Dr & Grand Ave,member,9,Thursday,6
16,Streeter Dr & Grand Ave,member,10,Sunday,6
14,Streeter Dr & Grand Ave,member,12,Sunday,6
14,Streeter Dr & Grand Ave,member,6,Thursday,6
17,Streeter Dr & Grand Ave,member,15,Monday,6
10,Streeter Dr & Grand Ave,member,2,Monday,6
12,Streeter Dr & Grand Ave,member,9,Thursday,6
19,Streeter Dr & Grand Ave,member,13,Saturday,6
15,Streeter Dr & Grand Ave,member,7,Wednesday,6
18,Streeter Dr & Grand Ave,member,12,Sunday,6
15,Streeter Dr & Grand Ave,member,11,Sunday,6
13,Streeter Dr & Grand Ave,member,4,Wednesday,6
18,Streeter Dr & Grand Ave,member,11,Tuesday,6
1,Streeter Dr & Grand Ave,member,7,Saturday,6
18,Streeter Dr & Grand Ave,member,22,Saturday,7
8,Streeter Dr & Grand Ave,member,5,Tuesday,6
15,Streeter Dr & Grand Ave,member,17,Saturday,7
13,Streeter Dr & Grand Ave,member,21,Saturday,7
22,Streeter Dr & Grand Ave,member,7,Thursday,6
21,Streeter Dr & Grand Ave,member,13,Sunday,7
20,Streeter Dr & Grand Ave,member,11,Thursday,6
18,Streeter Dr & Grand Ave,member,13,Wednesday,6
16,Streeter Dr & Grand Ave,member,28,Saturday,7
16,Streeter Dr & Grand Ave,member,12,Monday,6
23,Streeter Dr & Grand Ave,member,4,Monday,7
20,Streeter Dr & Grand Ave,member,20,Monday,7
21,Streeter Dr & Grand Ave,member,10,Friday,7
19,Streeter Dr & Grand Ave,member,25,Thursday,7
15,Streeter Dr & Grand Ave,member,15,Friday,7
12,Streeter Dr & Grand Ave,member,15,Tuesday,7
10,Streeter Dr & Grand Ave,member,26,Saturday,7
19,Streeter Dr & Grand Ave,member,10,Wednesday,7
12,Streeter Dr & Grand Ave,member,17,Sunday,7
17,Streeter Dr & Grand Ave,member,26,Thursday,7
20,Streeter Dr & Grand Ave,member,10,Friday,7
2,Streeter Dr & Grand Ave,member,3,Tuesday,7
13,Streeter Dr & Grand Ave,member,6,Tuesday,7
16,Streeter Dr & Grand Ave,member,24,Tuesday,7
22,Streeter Dr & Grand Ave,member,12,Thursday,7
14,Streeter Dr & Grand Ave,member,16,Tuesday,7
21,Streeter Dr & Grand Ave,member,14,Tuesday,7
19,Streeter Dr & Grand Ave,member,18,Tuesday,7
18,Streeter Dr & Grand Ave,member,25,Wednesday,7
15,Streeter Dr & Grand Ave,member,14,Tuesday,7
18,Streeter Dr & Grand Ave,member,17,Sunday,7
14,Streeter Dr & Grand Ave,member,6,Wednesday,7
1,Streeter Dr & Grand Ave,member,10,Saturday,7
14,Streeter Dr & Grand Ave,member,26,Sunday,7
1,Streeter Dr & Grand Ave,member,3,Friday,7
10,Streeter Dr & Grand Ave,member,16,Tuesday,7
5,Streeter Dr & Grand Ave,member,2,Saturday,7
9,Streeter Dr & Grand Ave,member,18,Saturday,7
21,Streeter Dr & Grand Ave,member,17,Thursday,7
9,Streeter Dr & Grand Ave,member,8,Tuesday,7
12,Streeter Dr & Grand Ave,member,17,Thursday,7
22,Streeter Dr & Grand Ave,member,9,Monday,7
18,Streeter Dr & Grand Ave,member,30,Thursday,7
17,Streeter Dr & Grand Ave,member,31,Tuesday,7
15,Streeter Dr & Grand Ave,member,14,Monday,7
0,Streeter Dr & Grand Ave,member,8,Sunday,7
19,Streeter Dr & Grand Ave,member,23,Friday,7
9,Streeter Dr & Grand Ave,member,8,Sunday,7
16,Streeter Dr & Grand Ave,member,29,Friday,7
17,Streeter Dr & Grand Ave,member,30,Friday,7
14,Streeter Dr & Grand Ave,member,19,Friday,7
11,Streeter Dr & Grand Ave,member,32,Saturday,7
20,Streeter Dr & Grand Ave,member,24,Thursday,7
6,Streeter Dr & Grand Ave,member,6,Thursday,7
13,Streeter Dr & Grand Ave,member,9,Thursday,7
9,Streeter Dr & Grand Ave,member,12,Thursday,7
11,Streeter Dr & Grand Ave,member,16,Friday,7
13,Streeter Dr & Grand Ave,member,17,Friday,7
18,Streeter Dr & Grand Ave,member,22,Friday,7
16,Streeter Dr & Grand Ave,member,18,Thursday,7
22,Streeter Dr & Grand Ave,member,6,Tuesday,7
3,Streeter Dr & Grand Ave,member,4,Monday,7
19,Streeter Dr & Grand Ave,member,18,Monday,7
6,Streeter Dr & Grand Ave,member,6,Tuesday,7
20,Streeter Dr & Grand Ave,member,18,Saturday,7
11,Streeter Dr & Grand Ave,member,11,Monday,7
8,Streeter Dr & Grand Ave,member,15,Wednesday,7
12,Streeter Dr & Grand Ave,member,16,Saturday,7
7,Streeter Dr & Grand Ave,member,10,Thursday,7
9,Streeter Dr & Grand Ave,member,8,Friday,7
10,Streeter Dr & Grand Ave,member,8,Friday,7
14,Streeter Dr & Grand Ave,member,11,Thursday,7
7,Streeter Dr & Grand Ave,member,13,Wednesday,7
8,Streeter Dr & Grand Ave,member,11,Tuesday,7
16,Streeter Dr & Grand Ave,member,17,Monday,7
20,Streeter Dr & Grand Ave,member,16,Wednesday,7
19,Streeter Dr & Grand Ave,member,22,Sunday,7
6,Streeter Dr & Grand Ave,member,12,Friday,7
17,Streeter Dr & Grand Ave,member,10,Sunday,7
18,Streeter Dr & Grand Ave,member,33,Monday,7
7,Streeter Dr & Grand Ave,member,11,Tuesday,7
17,Streeter Dr & Grand Ave,member,12,Saturday,7
10,Streeter Dr & Grand Ave,member,8,Wednesday,7
1,Streeter Dr & Grand Ave,member,2,Wednesday,7
2,Streeter Dr & Grand Ave,member,4,Sunday,7
10,Streeter Dr & Grand Ave,member,10,Thursday,7
16,Streeter Dr & Grand Ave,member,13,Wednesday,7
13,Streeter Dr & Grand Ave,member,9,Monday,7
2,Streeter Dr & Grand Ave,member,5,Saturday,7
11,Streeter Dr & Grand Ave,member,7,Wednesday,7
15,Streeter Dr & Grand Ave,member,17,Sunday,7
0,Streeter Dr & Grand Ave,member,6,Saturday,7
13,Streeter Dr & Grand Ave,member,9,Wednesday,7
14,Streeter Dr & Grand Ave,member,19,Saturday,7
22,Streeter Dr & Grand Ave,member,7,Sunday,7
20,Streeter Dr & Grand Ave,member,8,Sunday,7
1,Streeter Dr & Grand Ave,member,2,Thursday,7
8,Streeter Dr & Grand Ave,member,5,Thursday,7
18,Streeter Dr & Grand Ave,member,29,Tuesday,7
10,Streeter Dr & Grand Ave,member,12,Sunday,7
11,Streeter Dr & Grand Ave,member,8,Thursday,7
11,Streeter Dr & Grand Ave,member,12,Tuesday,7
22,Streeter Dr & Grand Ave,member,9,Wednesday,7
19,Streeter Dr & Grand Ave,member,14,Saturday,7
13,Streeter Dr & Grand Ave,member,20,Sunday,7
8,Streeter Dr & Grand Ave,member,12,Monday,7
0,Streeter Dr & Grand Ave,member,1,Tuesday,7
12,Streeter Dr & Grand Ave,member,13,Monday,7
9,Streeter Dr & Grand Ave,member,11,Wednesday,7
7,Streeter Dr & Grand Ave,member,8,Monday,7
21,Streeter Dr & Grand Ave,member,19,Monday,7
9,Streeter Dr & Grand Ave,member,5,Monday,7
0,Streeter Dr & Grand Ave,member,7,Sunday,1
14,Streeter Dr & Grand Ave,member,9,Sunday,1
16,Streeter Dr & Grand Ave,member,3,Sunday,1
20,Streeter Dr & Grand Ave,member,2,Saturday,1
15,Streeter Dr & Grand Ave,member,2,Monday,1
15,Streeter Dr & Grand Ave,member,3,Wednesday,1
7,Streeter Dr & Grand Ave,member,1,Thursday,1
9,Streeter Dr & Grand Ave,member,2,Thursday,1
20,Streeter Dr & Grand Ave,member,1,Wednesday,1
6,Streeter Dr & Grand Ave,member,2,Tuesday,1
14,Streeter Dr & Grand Ave,member,8,Saturday,1
15,Streeter Dr & Grand Ave,member,1,Friday,1
13,Streeter Dr & Grand Ave,member,3,Saturday,1
8,Streeter Dr & Grand Ave,member,2,Saturday,1
18,Streeter Dr & Grand Ave,member,1,Friday,1
17,Streeter Dr & Grand Ave,member,2,Saturday,1
13,Streeter Dr & Grand Ave,member,4,Tuesday,1
17,Streeter Dr & Grand Ave,member,1,Wednesday,2
16,Streeter Dr & Grand Ave,member,3,Tuesday,2
13,Streeter Dr & Grand Ave,member,1,Saturday,2
13,Streeter Dr & Grand Ave,member,7,Sunday,2
8,Streeter Dr & Grand Ave,member,1,Saturday,2
8,Streeter Dr & Grand Ave,member,6,Tuesday,2
13,Streeter Dr & Grand Ave,member,4,Monday,2
11,Streeter Dr & Grand Ave,member,1,Sunday,2
15,Streeter Dr & Grand Ave,member,5,Thursday,2
14,Streeter Dr & Grand Ave,member,3,Tuesday,2
16,Streeter Dr & Grand Ave,member,4,Monday,2
21,Streeter Dr & Grand Ave,member,1,Thursday,2
16,Streeter Dr & Grand Ave,member,5,Friday,2
8,Streeter Dr & Grand Ave,member,3,Friday,2
17,Streeter Dr & Grand Ave,member,3,Thursday,2
17,Streeter Dr & Grand Ave,member,5,Friday,3
16,Streeter Dr & Grand Ave,member,6,Thursday,3
19,Streeter Dr & Grand Ave,member,4,Sunday,3
14,Streeter Dr & Grand Ave,member,5,Sunday,3
18,Streeter Dr & Grand Ave,member,2,Tuesday,2
11,Streeter Dr & Grand Ave,member,1,Wednesday,3
18,Streeter Dr & Grand Ave,member,8,Friday,3
22,Streeter Dr & Grand Ave,member,1,Tuesday,2
12,Streeter Dr & Grand Ave,member,1,Tuesday,2
8,Streeter Dr & Grand Ave,member,4,Friday,3
17,Streeter Dr & Grand Ave,member,6,Sunday,3
7,Streeter Dr & Grand Ave,member,5,Monday,3
11,Streeter Dr & Grand Ave,member,4,Sunday,3
9,Streeter Dr & Grand Ave,member,1,Wednesday,3
11,Streeter Dr & Grand Ave,member,3,Saturday,3
21,Streeter Dr & Grand Ave,member,2,Wednesday,3
19,Streeter Dr & Grand Ave,member,2,Monday,3
17,Streeter Dr & Grand Ave,member,6,Monday,3
12,Streeter Dr & Grand Ave,member,1,Tuesday,3
10,Streeter Dr & Grand Ave,member,3,Thursday,3
16,Streeter Dr & Grand Ave,member,7,Friday,3
10,Streeter Dr & Grand Ave,member,3,Sunday,3
22,Streeter Dr & Grand Ave,member,1,Saturday,3
8,Streeter Dr & Grand Ave,member,7,Tuesday,3
19,Streeter Dr & Grand Ave,member,3,Friday,3
15,Streeter Dr & Grand Ave,member,3,Tuesday,3
15,Streeter Dr & Grand Ave,member,4,Thursday,3
13,Streeter Dr & Grand Ave,member,4,Friday,3
13,Streeter Dr & Grand Ave,member,4,Thursday,4
17,Streeter Dr & Grand Ave,member,5,Sunday,4
17,Streeter Dr & Grand Ave,member,7,Monday,4
12,Streeter Dr & Grand Ave,member,3,Saturday,4
18,Streeter Dr & Grand Ave,member,2,Monday,4
17,Streeter Dr & Grand Ave,member,8,Thursday,4
17,Streeter Dr & Grand Ave,member,11,Wednesday,4
15,Streeter Dr & Grand Ave,member,8,Tuesday,4
20,Streeter Dr & Grand Ave,member,3,Wednesday,4
20,Streeter Dr & Grand Ave,member,1,Tuesday,4
12,Streeter Dr & Grand Ave,member,2,Tuesday,4
19,Streeter Dr & Grand Ave,member,2,Saturday,4
15,Streeter Dr & Grand Ave,member,8,Wednesday,4
9,Streeter Dr & Grand Ave,member,3,Thursday,4
11,Streeter Dr & Grand Ave,member,1,Tuesday,4
19,Streeter Dr & Grand Ave,member,4,Monday,5
21,Streeter Dr & Grand Ave,member,2,Sunday,5
9,Streeter Dr & Grand Ave,member,4,Friday,5
18,Streeter Dr & Grand Ave,member,1,Sunday,5
13,Streeter Dr & Grand Ave,member,6,Saturday,5
8,Streeter Dr & Grand Ave,member,5,Saturday,5
21,Streeter Dr & Grand Ave,member,5,Wednesday,5
18,Streeter Dr & Grand Ave,member,15,Wednesday,5
11,Streeter Dr & Grand Ave,member,2,Sunday,5
14,Streeter Dr & Grand Ave,member,7,Sunday,5
23,Streeter Dr & Grand Ave,member,2,Friday,5
16,Streeter Dr & Grand Ave,member,6,Saturday,5
7,Streeter Dr & Grand Ave,member,3,Friday,5
11,Streeter Dr & Grand Ave,member,11,Saturday,5
8,Streeter Dr & Grand Ave,member,6,Tuesday,5
16,Streeter Dr & Grand Ave,member,4,Friday,5
13,Streeter Dr & Grand Ave,member,5,Tuesday,5
19,Streeter Dr & Grand Ave,member,9,Thursday,5
12,Streeter Dr & Grand Ave,member,2,Friday,5
22,Streeter Dr & Grand Ave,member,2,Wednesday,5
12,Streeter Dr & Grand Ave,member,6,Wednesday,5
19,Streeter Dr & Grand Ave,member,4,Saturday,5
18,Streeter Dr & Grand Ave,member,7,Friday,5
10,Streeter Dr & Grand Ave,member,2,Sunday,5
0,Streeter Dr & Grand Ave,member,1,Saturday,5
18,Streeter Dr & Grand Ave,member,12,Thursday,5
5,Streeter Dr & Grand Ave,member,3,Wednesday,5
10,Streeter Dr & Grand Ave,member,4,Tuesday,5
11,Streeter Dr & Grand Ave,member,4,Monday,5
0,Streeter Dr & Grand Ave,member,2,Wednesday,5
9,Streeter Dr & Grand Ave,member,2,Sunday,5
13,Streeter Dr & Grand Ave,member,9,Sunday,5
22,Streeter Dr & Grand Ave,member,7,Saturday,5
17,Streeter Dr & Grand Ave,member,6,Sunday,6
20,Streeter Dr & Grand Ave,member,7,Sunday,6
21,Streeter Dr & Grand Ave,member,9,Tuesday,5
11,Streeter Dr & Grand Ave,member,10,Friday,6
5,Streeter Dr & Grand Ave,member,1,Friday,6
10,Streeter Dr & Grand Ave,member,6,Saturday,6
13,Streeter Dr & Grand Ave,member,9,Monday,5
22,Streeter Dr & Grand Ave,member,9,Saturday,6
23,Streeter Dr & Grand Ave,member,4,Friday,6
14,Streeter Dr & Grand Ave,member,1,Tuesday,5
21,Streeter Dr & Grand Ave,member,12,Saturday,6
5,Streeter Dr & Grand Ave,member,3,Tuesday,6
9,Streeter Dr & Grand Ave,member,4,Monday,6
15,Streeter Dr & Grand Ave,member,8,Tuesday,6
8,Streeter Dr & Grand Ave,member,6,Saturday,6
7,Streeter Dr & Grand Ave,member,4,Wednesday,6
17,Streeter Dr & Grand Ave,member,13,Thursday,6
11,Streeter Dr & Grand Ave,member,4,Tuesday,6
4,Streeter Dr & Grand Ave,member,2,Saturday,6
21,Streeter Dr & Grand Ave,member,2,Sunday,6
11,Streeter Dr & Grand Ave,member,5,Thursday,6
7,Streeter Dr & Grand Ave,member,3,Sunday,6
12,Streeter Dr & Grand Ave,member,7,Monday,6
22,Streeter Dr & Grand Ave,member,9,Wednesday,6
7,Streeter Dr & Grand Ave,member,8,Thursday,6
8,Streeter Dr & Grand Ave,member,4,Monday,6
20,Streeter Dr & Grand Ave,member,3,Tuesday,6
8,Streeter Dr & Grand Ave,member,6,Friday,6
7,Streeter Dr & Grand Ave,member,5,Friday,6
23,Streeter Dr & Grand Ave,member,2,Saturday,6
10,Streeter Dr & Grand Ave,member,3,Friday,6
23,Streeter Dr & Grand Ave,member,2,Tuesday,6
1,Streeter Dr & Grand Ave,member,1,Friday,6
21,Streeter Dr & Grand Ave,member,6,Wednesday,6
13,Streeter Dr & Grand Ave,member,3,Tuesday,6
8,Streeter Dr & Grand Ave,member,7,Thursday,6
22,Streeter Dr & Grand Ave,member,4,Monday,6
7,Streeter Dr & Grand Ave,member,2,Saturday,7
23,Streeter Dr & Grand Ave,member,12,Sunday,7
16,Streeter Dr & Grand Ave,member,18,Sunday,7
6,Streeter Dr & Grand Ave,member,7,Wednesday,7
12,Streeter Dr & Grand Ave,member,19,Friday,7
23,Streeter Dr & Grand Ave,member,3,Thursday,7
