seasons,end_station_name,member_casual,count_of_users,,Sum of count_of_users,Column Labels,,,,,,,,,,,,,,,,,,
2023SummerRide,DuSable Lake Shore Dr & North Blvd,casual,6062,,Row Labels,Ashland Ave & Division St,Broadway & Cornelia Ave,Canal St & Madison St,Clark St & Wrightwood Ave,DuSable Lake Shore Dr & Diversey Pkwy,DuSable Lake Shore Dr & Monroe St,DuSable Lake Shore Dr & North Blvd,Lincoln Park Conservatory,Michigan Ave & Lake St,Millennium Park,Rush St & Superior St,Shedd Aquarium,Sheffield Ave & Waveland Ave,Sheffield Ave & Wrightwood Ave,Streeter Dr & Grand Ave,Theater on the Lake,Wabash Ave & Wacker Pl,Wells St & Concord Ln,Grand Total
2023FallRide,Streeter Dr & Grand Ave,casual,5165,,2023SpringRide,,,,,,,,,,,,,,,1564,,,,1564
2023SummerRide,Streeter Dr & Grand Ave,casual,3907,,2023SummerRide,1860,2051,1949,1959,,3710,6062,1666,2489,1611,1688,2262,2811,1597,3907,1659,1705,2837,41823
2023SummerRide,DuSable Lake Shore Dr & Monroe St,casual,3710,,2023FallRide,,,,,2819,,,,,,,,,,5165,,,,7984
2023SummerRide,Wells St & Concord Ln,casual,2837,,Grand Total,1860,2051,1949,1959,2819,3710,6062,1666,2489,1611,1688,2262,2811,1597,10636,1659,1705,2837,51371
2023FallRide,DuSable Lake Shore Dr & Diversey Pkwy,casual,2819,,,,,,,,,,,,,,,,,,,,,
2023SummerRide,Sheffield Ave & Waveland Ave,casual,2811,,,,,,,,,,,,,,,,,,,,,
2023SummerRide,Michigan Ave & Lake St,casual,2489,,,,,,,,,,,,,,,,,,,,,
2023SummerRide,Shedd Aquarium,casual,2262,,,,,,,,,,,,,,,,,,,,,
2023SummerRide,Broadway & Cornelia Ave,casual,2051,,,,,,,,,,,,,,,,,,,,,
2023SummerRide,Clark St & Wrightwood Ave,casual,1959,,,,,,,,,,,,,,,,,,,,,
2023SummerRide,Canal St & Madison St,casual,1949,,,,,,,,,,,,,,,,,,,,,
2023SummerRide,Ashland Ave & Division St,casual,1860,,,,,,,,,,,,,,,,,,,,,
