start_station_name,member_casual,count_of_users,,,start_station_name,count_of_users
Chicago State University,casual,49,,,,
Eberhart Ave & 61st St,casual,48,,,,
Public Rack - Hamlin Ave & Fullerton Ave,casual,47,,,,
MLK Jr Dr & 56th St,casual,47,,,,
Central Ave & Lake St,casual,47,,,,
Public Rack - Hamlin Ave & Montrose Ave,casual,47,,,,
State St & 79th St,casual,47,,,,
Shabbona Park,casual,47,,,,
Kilbourn & Belden,casual,46,,,,
Public Rack - Washtenaw Ave & Superior St,casual,46,,,,
Western Blvd & 48th Pl,casual,45,,,,
Millard Ave & 26th St,casual,45,,,,
Pulaski Rd & Eddy St (Temp),casual,43,,,,
Hamlin Ave & Grand Ave,casual,43,,,,
Jeffery Blvd & 67th St,casual,43,,,,
Public Rack - Milwaukee Ave & Diversey Ave,casual,42,,,,
Troy Ave & 27th St,casual,42,,,,
Princeton Ave & 47th St,casual,42,,,,
Pulaski Rd & Eddy St,casual,42,,,,
Wentworth Ave & 63rd St,casual,42,,,,
Kedzie Ave & 110th St,casual,41,,,,
Damen Ave & 59th St,casual,41,,,,
Princeton Ave & Garfield Blvd,casual,41,,,,
Kildare Ave & 26th St,casual,41,,,,
Lawndale Ave & 30th St,casual,41,,,,
Kostner Ave & 63rd St,casual,41,,,,
Union Ave & Root St,casual,41,,,,
Cottage Grove Ave & 67th St,casual,40,,,,
Lamon Ave & Armitage Ave,casual,40,,,,
N Clark St & W Elm St,casual,40,,,,
Washtenaw Ave & Ogden Ave,casual,40,,,,
Kildare Ave & Division St,casual,40,,,,
Ping Tom Park (East),casual,40,,,,
Tripp Ave & 65th St,casual,39,,,,
Public Rack - Christiana Ave & Belmont Ave,casual,39,,,,
Western Ave & Lake St,casual,39,,,,
Eggleston Ave & 69th St,casual,39,,,,
Kilbourn Ave & Milwaukee Ave,casual,38,,,,
Ashland Ave & Garfield Blvd,casual,38,,,,
La Villita Park (Albany/30th),casual,38,,,,
Yates Blvd & 75th St,casual,38,,,,
Harlem Ave & Grace St,casual,37,,,,
Francisco Ave & Hollywood Ave,casual,37,,,,
Dodge Ave & Main St,casual,37,,,,
Orange & Addison,casual,37,,,,
Public Rack - Avers Ave & Irving Park Rd,casual,36,,,,
Fairfield Ave & Roosevelt Rd,casual,36,,,,
Long Ave & Belmont Ave,casual,36,,,,
Public Rack - Milwaukee Ave & Higgins Ave,casual,36,,,,
Greenwood Ave & 97th St,casual,36,,,,
Indiana Ave & 40th St,casual,35,,,,
Campbell Ave & 51st St,casual,35,,,,
Central Ave & Roscoe St,casual,35,,,,
Halsted St & 37th St,casual,35,,,,
Seeley Ave & Garfield Blvd,casual,34,,,,
Commercial Ave & 130th St,casual,34,,,,
Bloomingdale Ave & Harlem Ave,casual,34,,,,
Cicero Ave & Grace St,casual,34,,,,
Central Park & Augusta Blvd,casual,34,,,,
Western Ave & Ardmore Ave,casual,33,,,,
Rainbow Beach,casual,33,,,,
Latrobe Ave & Chicago Ave,casual,33,,,,
California Ave & Winona St,casual,32,,,,
Roscoe & Harlem,casual,32,,,,
Kenton Ave & Madison St,casual,32,,,,
Laramie Ave & Kinzie St,casual,32,,,,
Western Ave & 104th St,casual,31,,,,
St Louis Ave & Norman Bobbins Ave,casual,31,,,,
Halsted St & 63rd St,casual,31,,,,
Narragansett Ave & School St,casual,31,,,,
Public Rack - Cumberland & Catherine,casual,31,,,,
Damen Ave & Pershing Rd,casual,30,,,,
Public Rack - Harold Washington Park,casual,30,,,,
Central Ave & Chicago Ave,casual,30,,,,
Hamlin Ave & 62nd Pl,casual,30,,,,
Jeffery Blvd & 71st St,casual,30,,,,
Kedzie Ave & 24th St,casual,30,,,,
Indiana Ave & 103rd St,casual,29,,,,
Narragansett & Irving Park,casual,29,,,,
Ashland Ave & Pershing Rd,casual,29,,,,
Maplewood Ave & 59th St,casual,29,,,,
Pulaski Rd & Congress Pkwy,casual,29,,,,
Homan Ave & 65th St,casual,29,,,,
Albany Ave & 26th St,casual,29,,,,
Burnham Greenway & 105th St,casual,29,,,,
Public Rack - Hyde Park Blvd & 55th St,casual,29,,,,
Prospect Sq & 91st St,casual,28,,,,
Laramie Ave & Madison St,casual,28,,,,
Komensky Ave & 55th St,casual,28,,,,
Major Taylor Trail & 115th St,casual,28,,,,
Halsted St & 78th St,casual,28,,,,
Austin Blvd & Madison St,casual,28,,,,
Sacramento Blvd & Fulton Ave,casual,28,,,,
California & 16th St,casual,28,,,,
Public Rack - Milwaukee Ave & School St,casual,28,,,,
Public Rack - Lawndale Ave & Diversey Ave,casual,27,,,,
Stony Island Ave & 67th St,casual,27,,,,
Lawndale Ave & 111th St,casual,27,,,,
Public Rack - Kenton Ave & Palmer St,casual,27,,,,
Martin Luther King Dr & 111th St,casual,27,,,,
Public Rack - Monticello Ave & Belmont Ave,casual,27,,,,
Hoyne Ave & 34th St,casual,27,,,,
Sacramento Ave & 25th St,casual,27,,,,
Ashland Ave & 78th St,casual,27,,,,
California Ave & Marquette Rd,casual,26,,,,
Steelworkers Park,casual,26,,,,
Stewart Ave & 83rd St,casual,26,,,,
Lawler Ave & 50th St,casual,26,,,,
Sacramento Ave & Pershing Rd,casual,26,,,,
South Shore Dr & 74th St,casual,26,,,,
Pulaski Rd & 21st St,casual,26,,,,
Doty Ave & 111th St,casual,25,,,,
Hegewisch Metra Station,casual,25,,,,
Damen Ave & 74th St,casual,25,,,,
Kilpatrick Ave & Grand Ave,casual,25,,,,
W 103rd St & S Avers Ave,casual,25,,,,
Springfield Ave & 47th St,casual,25,,,,
State St & Pershing Rd,casual,25,,,,
Pulaski & Ann Lurie Pl,casual,24,,,,
Meade Ave & Addison St,casual,24,,,,
Maryland Ave & 104th St,casual,24,,,,
Hoyne Ave & 47th St,casual,24,,,,
Public Rack - Champlain Ave & 65th St,casual,24,,,,
Central Park Ave & Ohio St,casual,24,,,,
Ashland Ave & 50th St,casual,24,,,,
Spaulding Ave & 63rd St,casual,24,,,,
Public Rack - Washtenaw Ave & Devon Ave,casual,24,,,,
Stewart Ave & 63rd St,casual,24,,,,
State St & 54th St,casual,23,,,,
Big Marsh Park,casual,23,,,,
Eberhart Ave & 131st St,casual,23,,,,
Public Rack - Rockwell & Division,casual,23,,,,
Cicero Ave & Quincy St,casual,23,,,,
Phillips Ave & 79th St,casual,23,,,,
Racine Ave & Garfield Blvd,casual,23,,,,
Ashland Ave & McDowell Ave,casual,23,,,,
Wabash Ave & 87th St,casual,23,,,,
Leamington Ave & Hirsch St,casual,23,,,,
Public Rack - California Ave & Cortez St,casual,23,,,,
Long Ave & Belden Ave,casual,23,,,,
Vernon Ave & 107th St,casual,22,,,,
Exchange Ave & 79th St,casual,22,,,,
Ashland Ave & 74th St,casual,22,,,,
Racine Ave & Fullerton Ave (Temp),casual,22,,,,
Kildare Ave & 47th St,casual,22,,,,
Kildare Ave & 55th St,casual,22,,,,
Public Rack - King Dr & 115th St,casual,21,,,,
Torrence Ave & 106th St,casual,21,,,,
Public Rack - Kedzie Ave & Archer Ave,casual,21,,,,
Artesian Ave & 55th St,casual,21,,,,
Public Rack - Spaulding Ave & Evergreen Ave,casual,21,,,,
Stony Island Ave & 63rd St,casual,21,,,,
Mason Ave & Belmont Ave,casual,21,,,,
Narragansett & McLean,casual,21,,,,
Stony Island Ave & 64th St,casual,21,,,,
Public Rack - California Ave & Touhy Ave - NW,casual,20,,,,
Public Rack - Walden Pkwy & 103rd St,casual,20,,,,
Pulaski Rd & Lake St,casual,20,,,,
Ashland Ave & 63rd St,casual,20,,,,
Kedzie Ave & Roosevelt Rd,casual,20,,,,
Morgan St & Pershing Rd,casual,20,,,,
Kenneth Ave & 50th St,casual,20,,,,
Public Rack - Lafayette Ave & 95th St,casual,20,,,,
Hale Ave & 107th St,casual,19,,,,
Plainfield & Irving Park,casual,19,,,,
Rockwell St & 57th St,casual,19,,,,
Ewing Ave & Burnham Greenway,casual,19,,,,
Public Rack - Kilbourn Ave & Fullerton Ave,casual,19,,,,
Western Ave & 28th St,casual,19,,,,
Halsted St & 111th St,casual,19,,,,
Public Rack - Columbus & 79th,casual,19,,,,
Central Ave & Madison St,casual,19,,,,
Dauphin Ave & 87th St,casual,18,,,,
North Ave & New England Ave,casual,18,,,,
MLK Jr Dr & 83rd St,casual,18,,,,
Cottage Grove Ave & 111th Pl,casual,18,,,,
Public Rack - Spaulding Ave & North Ave,casual,18,,,,
Public Rack - S Menard & W 63rd,casual,18,,,,
Halsted St & 47th Pl,casual,18,,,,
Public Rack - Melvina Ave & Belmont Ave,casual,18,,,,
Major Ave & Bloomingdale Ave,casual,18,,,,
Virginia Ave & Catalpa Ave,casual,18,,,,
Public Rack - Fullerton Ave & Narragansett Ave,casual,17,,,,
Public Rack - Lockwood Ave & Diversey Ave,casual,17,,,,
Woodlawn Ave & 75th St,casual,17,,,,
Monticello Ave & Chicago Ave,casual,17,,,,
Public Rack - Nagle Ave & Belmont Ave,casual,17,,,,
Tripp Ave & 31st St,casual,17,,,,
Laramie Ave & Gladys Ave,casual,17,,,,
Calumet Ave & 71st St,casual,17,,,,
Public Rack - Jonathan Y Scammon Public School,casual,17,,,,
Public Rack - 61st St & Melvina Ave,casual,17,,,,
Public Rack - Avers & Lawrence,casual,17,,,,
Kedzie Ave & 45th St,casual,17,,,,
Commercial Ave & 83rd St,casual,17,,,,
Public Rack - Prairie Ave & 47th St ,casual,16,,,,
Panama Ave & Grace St,casual,16,,,,
Avenue O & 118th St,casual,16,,,,
Evans Ave & 75th St,casual,16,,,,
Yates Blvd & 93rd St,casual,16,,,,
Harding Ave & 26th St,casual,16,,,,
Francisco Ave & 47th St,casual,16,,,,
Oketo Ave & Addison St,casual,16,,,,
Kildare & Cermak,casual,16,,,,
Public Rack - Austin Ave & Wrightwood Ave,casual,16,,,,
Central Ave & Harrison St,casual,16,,,,
Public Rack - S. New England/ W. 65th,casual,16,,,,
Kostner Ave & Adams St,casual,16,,,,
Karlov Ave & Madison St,casual,16,,,,
Baltimore Ave & 87th St,casual,16,,,,
Richmond St & 59th St,casual,15,,,,
Damen Ave & 51st St,casual,15,,,,
California Ave & 26th St,casual,15,,,,
Stony Island Ave & 75th St,casual,15,,,,
Central Park Blvd & 5th Ave,casual,15,,,,
Public Rack - Keystone Ave & Irving Park Rd,casual,15,,,,
Public Rack - Hyde Park Blvd & 53rd St,casual,15,,,,
Long Ave & North Ave,casual,15,,,,
Marshfield Ave & 59th St,casual,15,,,,
Shields Ave & 43rd St,casual,15,,,,
MLK Jr Dr & 63rd St,casual,15,,,,
Halsted St & 96th St,casual,15,,,,
Public Rack - Christiana & Lincoln,casual,15,,,,
Public Rack - Neva Ave & Grand Ave,casual,15,,,,
Public Rack - Avondale Ave & Addison St,casual,14,,,,
Public Rack - N Narragansett Ave & Grand Ave,casual,14,,,,
Parkside Ave & Armitage Ave,casual,14,,,,
California Ave & 36th St,casual,14,,,,
Summit Ave & 86th St,casual,14,,,,
Public Rack - Harvard Ave & 119th St,casual,14,,,,
Public Rack - Kedzie Ave & Argyle St,casual,14,,,,
Michigan Ave & 71st St,casual,14,,,,
Menard Ave & North Ave,casual,14,,,,
Jeffery Blvd & 76th St,casual,14,,,,
Woodlawn & 103rd,casual,14,,,,
Central Park Ave & Douglas Blvd,casual,14,,,,
Public Rack - Kimball Ave & Lawrence Ave,casual,14,,,,
Homan Ave & Fillmore St,casual,14,,,,
Marshfield Ave & 44th St,casual,14,,,,
Public Rack - Menard Ave & Dakin St - midblock,casual,14,,,,
Public Rack - Western & 79th,casual,14,,,,
Keeler Ave & Roosevelt Rd,casual,14,,,,
Archer Ave & 43rd St,casual,14,,,,
Cottage Grove Ave & 71st St,casual,13,,,,
Kildare Ave & Chicago Ave,casual,13,,,,
Public Rack - Lorel Ave & Grand Ave,casual,13,,,,
Greenwood Ave & 79th St,casual,13,,,,
Public Rack - Avers Ave & Archer Ave,casual,13,,,,
Public Rack - Hoyne Ave & 110th Pl,casual,13,,,,
S Michigan Ave & E 118th St,casual,13,,,,
Public Rack - Milwaukee Ave & Culyer Ave,casual,13,,,,
Public Rack - Kildare Ave & North Ave,casual,12,,,,
Halsted St & 56th St,casual,12,,,,
Public Rack - Milwaukee Ave & Addison St,casual,12,,,,
Elizabeth St & 92nd St,casual,12,,,,
Clyde Ave & 87th St,casual,12,,,,
Lamon Ave & Chicago Ave,casual,12,,,,
Public Rack - Cicero Ave & Wrightwood Ave,casual,12,,,,
Cicero Ave & Flournoy St,casual,12,,,,
Public Rack - Kimball Ave & Carmen Ave,casual,12,,,,
Loomis Blvd & 84th St,casual,12,,,,
Elizabeth St & 59th St,casual,12,,,,
Public Rack - Laramine Ave & Winnemac Ave,casual,12,,,,
Troy St & Jackson Blvd,casual,12,,,,
Kostner Ave & Lake St,casual,12,,,,
Public Rack - 56th St & Mulligan Ave,casual,12,,,,
Public Rack - State ST & 42nd St,casual,12,,,,
Komensky Ave & 31st St,casual,12,,,,
Public Rack - Prairie Ave & Garfield Blvd S,casual,12,,,,
Woodlawn & 103rd - Olive Harvey Vaccination Site,casual,11,,,,
Halsted St & 69th St,casual,11,,,,
Public Rack - California Ave & Marquette Rd,casual,11,,,,
Bennett Ave & 79th St,casual,11,,,,
East End Ave & 87th St,casual,11,,,,
Altgeld Gardens,casual,11,,,,
Public Rack - Komensky Ave & 31st St,casual,11,,,,
Stony Island Ave & 90th St,casual,11,,,,
Lawndale Ave & 16th St,casual,11,,,,
Public Rack - Elston Ave & Kenneth Ave,casual,11,,,,
Rockwell St & 63rd St,casual,11,,,,
Public Rack - 63rd Pl & Narraganssett Ave,casual,11,,,,
Public Rack - Pulaski Rd & 44th St,casual,11,,,,
Public Rack - Central Ave & Pensacola Ave,casual,11,,,,
Torrence Ave & 126th Pl,casual,11,,,,
Public Rack - Pulaski Rd & Fullerton Ave,casual,11,,,,
Greenwood Ave & 91st St,casual,11,,,,
Cottage Grove Ave & 78th St,casual,11,,,,
Ellis Ave & 83rd St,casual,10,,,,
Calumet Park,casual,10,,,,
Public Rack - Keystone Ave & North Ave,casual,10,,,,
Kedzie Ave & Harrison St,casual,10,,,,
Public Rack - Western Ave & 100th St,casual,10,,,,
Vernon Ave & 75th St,casual,10,,,,
Public Rack - Springfield Ave & Lawrence Ave,casual,10,,,,
Public Rack - Leamington & Elston,casual,10,,,,
Public Rack - Karlov Ave & Kamerling Ave,casual,10,,,,
Loomis St & 89th St,casual,10,,,,
Constance Ave & 95th St,casual,10,,,,
Vernon Ave & 79th St,casual,10,,,,
Public Rack - Parkside & Archer,casual,10,,,,
Olive Harvey College,casual,10,,,,
S Wentworth Ave & W 111th St,casual,10,,,,
Racine Ave & 61st St,casual,10,,,,
Public Rack - Western Ave & Devon Ave,casual,9,,,,
Stony Island Ave & 82nd St,casual,9,,,,
Public Rack - Talman Ave & Pershing Rd,casual,9,,,,
Halsted St & 59th St,casual,9,,,,
Stony Island Ave & South Chicago Ave,casual,9,,,,
Mozart St & Jackson Blvd,casual,9,,,,
Public Rack - Komensky Ave & 63rd St,casual,9,,,,
Public Rack - Kedzie Ave & 61st Pl E,casual,9,,,,
Public Rack - Cicero Ave & Cortland St - midblock,casual,9,,,,
Public Rack - Ford City Mall,casual,9,,,,
Public Rack - Laramie Ave & Belmont Ave,casual,9,,,,
Public Rack - Baltimore Ave & 133rd St,casual,9,,,,
Dauphin Ave & 103rd St,casual,9,,,,
Wabash Ave & 83rd St,casual,9,,,,
Public Rack - Sacramento Ave & Devon Ave,casual,9,,,,
Public Rack - California Ave & Devon Ave - NE,casual,9,,,,
Public Rack - Hamilton Ave & 95th St,casual,9,,,,
Houston Ave & 92nd St,casual,8,,,,
Elizabeth St & 47th St,casual,8,,,,
Whipple St & Roosevelt Rd,casual,8,,,,
Hastings LWS,casual,8,,,,
Public Rack - Laramie Ave & Warwick Ave,casual,8,,,,
Public Rack - Hamlin Ave & Grand Ave,casual,8,,,,
Public Rack - Avers Ave & Ogden Ave,casual,8,,,,
Vincennes Ave & 104th St,casual,8,,,,
Public Rack - Cicero Ave & Roscoe St,casual,8,,,,
Public Rack - Central & Prescott,casual,8,,,,
Albany Ave & 16th St,casual,8,,,,
Public Rack - Michigan Ave & 96th St,casual,8,,,,
Public Rack - Eli Whitney Public School,casual,8,,,,
Eberhart Ave & 91st St,casual,8,,,,
Throop St & 52nd St,casual,8,,,,
Public Rack - Kimball & Ardmore,casual,8,,,,
Public Rack - Sawyer Ave & Chicago Ave,casual,8,,,,
Public Rack - Kedzie Ave & 58th St,casual,8,,,,
Public Rack - 111th St - Morgan Park Metra,casual,8,,,,
Public Rack - Central Ave & Lawrence Ave,casual,8,,,,
Mayfield & Roosevelt Rd,casual,8,,,,
State St & 76th St,casual,8,,,,
Public Rack - Ashland Ave & 76th St,casual,7,,,,
Public Rack - Pulaski Rd & 65th St,casual,7,,,,
Public Rack - Austin Ave & Wellington Ave,casual,7,,,,
Public Rack - Linder & Elston,casual,7,,,,
Public Rack - Laramie Ave & Grand Ave,casual,7,,,,
Public Rack - 63rd St and Nagle Ave,casual,7,,,,
Public Rack - Sawyer Ave & Lawrence Ave,casual,7,,,,
Public Rack - Karlov Ave & Lawrence Ave,casual,7,,,,
Public Rack - Mozart Elementary School,casual,7,,,,
Public Rack - Natoma Ave & 61st St,casual,7,,,,
Kedzie Ave & 104th St,casual,7,,,,
Public Rack - McCormick Blvd & Devon Ave,casual,7,,,,
Public Rack - Kostner & 83rd,casual,7,,,,
Public Rack - Halsted St & 76th St,casual,7,,,,
Public Rack - Oketo Ave & Belmont Ave,casual,7,,,,
Vincennes Ave & 75th St,casual,7,,,,
Racine Ave & 65th St,casual,7,,,,
Public Rack - Delphina & Foster,casual,7,,,,
Public Rack - Odell & Talcott,casual,7,,,,
Homewood Ave & 115th St,casual,7,,,,
Public Rack - Lawndale Ave & 23rd St,casual,7,,,,
Public Rack - 82nd st & Kedzie Ave,casual,7,,,,
Public Rack - Abbott Park,casual,7,,,,
State St & 123rd St,casual,7,,,,
Western Ave & 62nd St,casual,7,,,,
Public Rack - Tripp Ave & North Ave,casual,6,,,,
Marquette Ave & 89th St,casual,6,,,,
Public Rack - St Louis Ave & Berteau Ave,casual,6,,,,
Public Rack - Kenneth Ave & 63rd St E,casual,6,,,,
Public Rack - Kedzie Ave & 54th St - SE,casual,6,,,,
Public Rack - Laramie Ave & Fullerton Ave,casual,6,,,,
Public Rack - Austin & Higgins,casual,6,,,,
Augusta Blvd & Laramie Ave,casual,6,,,,
Public Rack - Francisco Ave & Touhy Ave,casual,6,,,,
Public Rack - Melvina Ave & Montrose Ave,casual,6,,,,
Sacramento Blvd & Polk St,casual,6,,,,
Public Rack - Campbell Ave & Pratt Blvd,casual,6,,,,
Public Rack - Christiana Ave & Archer Ave,casual,6,,,,
Albany Ave & Douglas Blvd,casual,6,,,,
Menard Ave & Division St,casual,6,,,,
Public Rack - Western Ave & 110th St,casual,6,,,,
Public Rack - Harlem & Palatine,casual,6,,,,
Public Rack - Linder Ave & Belmont Ave,casual,6,,,,
Public Rack - Western Ave & 104th St - East,casual,6,,,,
Public Rack - Nashotah & Northwest Hwy,casual,6,,,,
Public Rack - Marshfield Ave & 87th St,casual,6,,,,
Public Rack - Christiana Ave & Lawrence Ave,casual,6,,,,
Public Rack - Milwaukee Ave & Catalpa Ave,casual,6,,,,
Public Rack - Rockwell Ave & Touhy Ave ,casual,6,,,,
Public Rack - Lockwood & Archer,casual,6,,,,
Public Rack - Pulaski & Rosemont,casual,6,,,,
Public Rack - Lavergne & Lawrence,casual,6,,,,
Lavergne Ave & 46th St,casual,5,,,,
Public Rack - Sawyer Ave & Bryn Mawr Ave - SW,casual,5,,,,
Phillips Ave & 83rd St,casual,5,,,,
Public Rack - Overhill Ave & Touhy Ave,casual,5,,,,
Ashland Ave & 66th St,casual,5,,,,
Public Rack - Kedzie Ave & 54th St - SW,casual,5,,,,
Public Rack - Touhy Ave & Oconto Ave,casual,5,,,,
Public Rack - Harper Ave & 63rd St,casual,5,,,,
Public Rack - Irving Park Rd & Austin Ave,casual,5,,,,
Public Rack - Cicero Ave & Altgeld St,casual,5,,,,
Public Rack - Ashland Ave & 91st St,casual,5,,,,
Public Rack - Lemont Ave & Keating Ave,casual,5,,,,
Major Taylor Trail & 124th St,casual,5,,,,
Public Rack - 532 E 43rd St,casual,5,,,,
Public Rack - Kedzie Ave & Arthington St,casual,5,,,,
Public Rack - Kostner Ave & Diversey Ave,casual,5,,,,
Public Rack - Haft Ave & Milwaukee Ave,casual,5,,,,
Public Rack - Winona St & Elston Ave,casual,5,,,,
Public Rack - Wood St & 103rd St,casual,5,,,,
Halsted St & 51st St,casual,5,,,,
Public Rack - Wood St & 47th St,casual,5,,,,
Public Rack - Western Ave & 47th Pl,casual,5,,,,
Public Rack - Halsted St & 95th St - SE,casual,5,,,,
Eggleston Ave & 92nd St,casual,5,,,,
Public Rack - Pullman - Walmart,casual,5,,,,
Public Rack - Central & Leland,casual,5,,,,
May St & 69th St,casual,5,,,,
Public Rack - Menard Ave & Grand Ave,casual,5,,,,
Public Rack - Milwaukee Ave & Kennedy Expy,casual,5,,,,
Public Rack - California Ave & Pershing Rd,casual,5,,,,
Public Rack - Kedzie Ave & Chicago Ave,casual,5,,,,
Public Rack - Lawrence Ave & Kimball Ave,casual,5,,,,
South Chicago Ave & 83rd St,casual,5,,,,
Public Rack - Austin & 62nd,casual,5,,,,
Public Rack - Bryn Mawr Ave & Milwaukee Ave,casual,5,,,,
Public Rack - Kedzie Ave & 62nd Pl,casual,5,,,,
Public Rack - Karlov Ave & Milwaukee Ave,casual,5,,,,
Avenue L & 114th St,casual,5,,,,
Spaulding Ave & 16th St,casual,4,,,,
Indiana Ave & 133rd St,casual,4,,,,
Public Rack - Laporte Ave & Armitage Ave,casual,4,,,,
S Aberdeen St & W 106th St,casual,4,,,,
Public Rack - Cicero & Rosemont,casual,4,,,,
Public Rack - Mont Clare Ave & Higgins Ave,casual,4,,,,
Public Rack - South Shore Dr & 71st St,casual,4,,,,
Public Rack - Rutherford Ave & Belmont Ave,casual,4,,,,
Public Rack - Kedzie Ave & 83rd St,casual,4,,,,
Public Rack - Lotus Ave & Lawrence Ave,casual,4,,,,
Public Rack - California & 71st,casual,4,,,,
Public Rack - Mango & Higgins,casual,4,,,,
Public Rack - 4810 Keeler Ave,casual,4,,,,
Public Rack - Rockwell & 111th St,casual,4,,,,
Public Rack - Mobile Ave & Archer Ave,casual,4,,,,
Public Rack - Western Ave & 104th St - West,casual,4,,,,
Commercial Ave & 100th St,casual,4,,,,
Public Rack - Bernard St & Foster Ave,casual,4,,,,
Public Rack - Lynch & Elston,casual,4,,,,
Public Rack - Springfield & 79th,casual,4,,,,
Public Rack - Irving Park Rd & Leclaire Ave,casual,4,,,,
Public Rack - Cicero Ave & North Ave,casual,4,,,,
Public Rack - Sawyer Ave & Bryn Mawr Ave - SE,casual,4,,,,
Public Rack - Olmstead Ave & Oliphant Ave,casual,4,,,,
Public Rack - Sacramento & 71st,casual,4,,,,
Public Rack - Christiana Ave & Bryn Mawr Ave,casual,4,,,,
Public Rack - Homan Ave & 26th St,casual,4,,,,
Public Rack - Pulaski & 52nd,casual,4,,,,
Public Rack - Emerald Ave & 43rd St,casual,4,,,,
Public Rack - Austin Ave & Roscoe St,casual,4,,,,
Public Rack - Loomis St & 87th St,casual,4,,,,
Public Rack - Hermitage & 83rd St,casual,4,,,,
Public Rack - Chase Ave & Touhy Ave - NE,casual,4,,,,
Public Rack - Jeffrey Blvd & 71st St,casual,4,,,,
Public Rack - S. Kilpatrick and W. 79th,casual,4,,,,
Public Rack - Narragansett Ave & Fullerton Ave,casual,4,,,,
Public Rack - Leland Ave & Melvina Ave,casual,4,,,,
Public Rack - Pulaski Rd & 83rd St,casual,4,,,,
Public Rack - Milwaukee Ave & Sunnyside Ave,casual,4,,,,
Public Rack - Elston Ave & Gunnison St,casual,4,,,,
Lavergne Ave & Division St,casual,4,,,,
Public Rack - Prairie Ave & Garfield Blvd N,casual,4,,,,
Public Rack - Jensen Park,casual,4,,,,
Campbell Ave & Montrose Ave (Temp),casual,4,,,,
Halsted St & 73rd St,casual,4,,,,
Kedzie Ave & 24th St (Temp),casual,4,,,,
Public Rack - Mulligan Ave & 56th St,casual,4,,,,
Public Rack - Milwaukee Ave & Pensacola Ave,casual,4,,,,
Public Rack - Pulaski Rd & Stevens Ave,casual,4,,,,
Public Rack - Central Park Ave & 16th St,casual,4,,,,
Public Rack - Spaulding Ave & Bryn Mawr Ave,casual,4,,,,
Public Rack - Chopin Park,casual,4,,,,
Public Rack - N. Oakview and W. Gregory St,casual,4,,,,
Public Rack - Greenwood Ave & Lake Park Ave,casual,4,,,,
Public Rack - Kedzie Ave & Pershing Rd,casual,4,,,,
Public Rack - Kostner Ave & Lake St,casual,4,,,,
Public Rack - Normal Ave & 111th St,casual,4,,,,
Public Rack - Ashland Ave & 71st St,casual,3,,,,
Public Rack - Cicero Ave & Wellington Ave,casual,3,,,,
Public Rack - Stewart Ave & 123rd St,casual,3,,,,
Public Rack - Pullman - Planet Fitness,casual,3,,,,
Public Rack - Irving Park Rd & Menard Ave,casual,3,,,,
Public Rack - Foster Ave & Drake Ave,casual,3,,,,
Public Rack - New England Ave & Grace St,casual,3,,,,
Public Rack - Melvina & Foster,casual,3,,,,
Public Rack - Hiawatha Ave & Minnehaha Ave,casual,3,,,,
Public Rack - Brooks Park,casual,3,,,,
Public Rack - Ozman & Talcott,casual,3,,,,
Public Rack - Springfield & 71st,casual,3,,,,
Public Rack - Racine Ave & 74th St,casual,3,,,,
Public Rack - Kilpatrick & Elston,casual,3,,,,
Public Rack - Western Ave & 105th St,casual,3,,,,
Public Rack - Hamlin Ave & Madison St,casual,3,,,,
Public Rack - Kenneth & Carmen,casual,3,,,,
Public Rack - Monticello & Lawrence,casual,3,,,,
Public Rack - Marshfield Ave & 45th St,casual,3,,,,
Public Rack - Ave N & 106th St,casual,3,,,,
Public Rack - Damen Ave & 80th St,casual,3,,,,
Public Rack - Harding Ave & 47th St,casual,3,,,,
Public Rack - Kedzie Ave & 60th St,casual,3,,,,
Public Rack - Maplewood Ave & 47th St,casual,3,,,,
Public Rack - Ewing Ave & 106th St NW,casual,3,,,,
Public Rack - Kostner & Bryn Mawr,casual,3,,,,
Public Rack - Kedvale Ave & Addison St,casual,3,,,,
Public Rack - Natoma Ave & Bryn Mawr Ave,casual,3,,,,
Public Rack - Kedvale Ave & 63rd St W,casual,3,,,,
Oglesby Ave & 100th St,casual,3,,,,
Public Rack - Kedzie Ave & 61st Pl W,casual,3,,,,
Public Rack - Forrestville Ave & 47th St,casual,3,,,,
Public Rack - Sayre Ave & 59th St,casual,3,,,,
Michigan Ave & 114th St,casual,3,,,,
Public Rack - Martin Luther King Dr & 44th St,casual,3,,,,
Public Rack - Harriet E Sayre Public School,casual,3,,,,
Public Rack - Hollywood Park,casual,3,,,,
Public Rack - Western & 83rd,casual,3,,,,
Public Rack - Drake Ave & Leland Ave,casual,3,,,,
Public Rack - Fairfield Ave & 63rd St,casual,3,,,,
Public Rack - Homan Ave & 62nd Pl,casual,3,,,,
Public Rack - Milwaukee Ave & Lawrence Ave,casual,3,,,,
Public Rack - Central Park & Bryn Mawr,casual,3,,,,
Public Rack - Western Ave & 79th St,casual,3,,,,
Public Rack - Newcastle Ave & Belden Ave,casual,3,,,,
Public Rack - Nordica Ave & Addison St,casual,3,,,,
Public Rack - Lawndale Ave & 63rd St,casual,3,,,,
Public Rack - Miami Ave & Milwaukee Ave,casual,3,,,,
Public Rack - Holbrook St & Milwaukee Ave,casual,3,,,,
Public Rack - Linder Ave & 64th Pl,casual,3,,,,
Public Rack - Nordica & Archer,casual,3,,,,
Public Rack - Evans Ave & 63rd St,casual,3,,,,
